,ID1_G,ID2_G,ID_T_G,ID_R_G,DATE_G,DF_ACE,AVR_DF,DF_PFS,DF_PSS,WIN,Break,H2H,DF_POINT,DF_RANK,PPM,complet,FATIGUE
3765,17903,21949,13223,4,2016-05-31 00:00:00,4.4051187025,-1.2080110737,-0.0662639194,-0.1538287397,0.3150994575,0.0937085834,0,3,-6,0.0517594775,199.0061458962,0
3766,22428,13637,13223,5,2016-05-31 00:00:00,1.1557610242,1.3843485359,0.0020211401,-0.0331457995,0.0803698435,0.0305390353,0,-59,410,0.0230254985,43.3783257925,0
3767,14427,23753,13226,4,2016-05-31 00:00:00,1.8341937051,0.5403726708,-0.028643082,-0.0460337214,0.1366459627,0.0435946944,0,-4,8,0.0374299225,17.992567143,0
3768,12544,18665,13226,4,2016-05-31 00:00:00,3.2666666667,1.4987993871,-0.1308443521,-0.2404576283,0.525203252,0.0976963005,0,4,-20,0.0740462508,70.010072063,0
3769,26826,14534,13226,4,2016-05-31 00:00:00,-3.9637767782,-0.6136363636,-0.0559067535,-0.1027611057,0.1818181818,-0.0607666798,0,-1,22,-0.0016633921,-33.9030834164,0
3770,34103,31600,13226,4,2016-05-31 00:00:00,1.7883189164,0.693877551,-0.1715593361,-0.2683062375,0.5918367347,0.1521733369,0,12,-107,0.0638549565,79.581411625,0
3771,14861,24297,13227,4,2016-05-31 00:00:00,1.317003489,0.4897959184,-0.1734073747,-0.2768948634,0.612244898,0.1195435534,0,58,-416,0.1264424063,70.251467173,0
3772,30931,25863,13227,4,2016-05-31 00:00:00,-0.8113401191,-0.3928571429,-0.0784506354,-0.1585406979,0.3035714286,-0.2518849206,0,5,0,0.0335899956,7.1883903974,0
3773,23240,20764,13227,4,2016-05-31 00:00:00,1.875,3.2916666667,-0.0043066442,-0.0280618687,0.0833333333,0.0171025734,0,4,-9,-0.0160433623,35.1853084416,0
3774,19871,29050,13227,4,2016-05-31 00:00:00,-0.3494344481,-0.3350871158,-0.0813253063,-0.1498510462,0.3257575758,0.2085503821,0,11,-77,0.1177647967,33.5798834095,0
3775,14616,23315,13227,4,2016-05-31 00:00:00,5.0388479644,2.1357142857,0.0124773917,-0.023606842,0.0571428571,-0.1060132923,0,11,-73,-0.0511384738,51.1916098971,0
3776,29047,25927,13227,4,2016-05-31 00:00:00,0,-1.6,-0.0100414079,0.0139312301,-0.0571428571,-0.011708926,0,0,0,0.0311530609,0.2958152958,0
3777,25861,29353,13227,4,2016-05-31 00:00:00,1.214599571,0.0457446809,-0.0596433963,-0.0968801272,0.2882978723,0.0224395167,0,45,-322,0.0339813347,45.5600624407,0
3778,30537,30607,13227,4,2016-05-31 00:00:00,3.4778609672,-2.45,-0.1560311625,-0.2332020687,0.5833333333,0.0529166667,0,21,-164,0.1244034089,38.4768556565,0
3779,17004,17749,13227,4,2016-05-31 00:00:00,1.8421993594,-1.3350802525,0.0765616643,0.1308645493,-0.2606516291,0.0148153812,0,7,-61,-0.0893409228,-14.1326155391,0
3780,24721,30971,13228,4,2016-05-31 00:00:00,0.9442589185,-0.3515834274,-0.165619016,-0.2674955575,0.6,0.1545011804,0,6,-57,0.0602561691,85.3885617342,0
